admiration,love,desire,disgust,excitement,approval,neutral,gratitude,surprise,annoyance,joy,disappointment,amusement,sadness,disapproval,confusion,optimism,fear,curiosity,remorse,embarrassment,realization,caring,anger,nervousness,file_name
594,54,8,11,13,25,88,10,14,18,47,72,6.0,4,12,11,1,4,4.0,2.0,2.0,0.0,0.0,0.0,0.0,American(New).json
529,42,7,15,15,25,108,14,15,28,55,88,7.0,7,28,5,2,2,6.0,0.0,0.0,2.0,0.0,0.0,0.0,American(Traditional).json
600,49,3,9,12,28,88,10,4,23,43,83,7.0,3,20,9,1,2,1.0,2.0,1.0,2.0,0.0,0.0,0.0,Cajun_Creole.json
476,63,3,15,5,51,143,4,11,39,32,90,9.0,3,25,13,7,4,0.0,3.0,1.0,2.0,1.0,0.0,0.0,Chinese.json
611,52,7,8,9,28,85,13,7,17,48,69,8.0,4,15,5,3,1,0.0,1.0,3.0,2.0,3.0,1.0,0.0,Cuban.json
610,52,10,5,11,28,73,15,14,12,54,75,0.0,7,15,5,1,3,3.0,2.0,1.0,2.0,2.0,0.0,0.0,French.json
634,50,6,10,10,19,85,9,7,19,26,69,4.0,5,29,4,5,3,1.0,1.0,2.0,1.0,1.0,0.0,0.0,Greek.json
616,48,8,9,16,33,76,11,8,19,32,74,3.0,3,18,8,2,3,2.0,4.0,0.0,2.0,5.0,0.0,0.0,Indian.json
539,37,3,15,8,26,108,7,15,25,81,76,7.0,2,14,14,3,2,1.0,4.0,3.0,5.0,2.0,2.0,1.0,Irish.json
588,48,7,13,7,18,97,12,3,20,45,95,3.0,5,15,10,3,3,1.0,5.0,0.0,1.0,1.0,0.0,0.0,Italian.json
541,55,5,9,11,40,94,10,7,19,46,91,5.0,4,32,8,4,6,2.0,3.0,0.0,5.0,1.0,2.0,0.0,Japanese.json
573,59,10,5,22,39,88,10,13,16,37,70,5.0,10,19,5,7,3,2.0,2.0,1.0,3.0,1.0,0.0,0.0,Korean.json
643,45,3,9,14,20,73,13,10,19,41,70,6.0,5,12,4,5,1,0.0,4.0,0.0,2.0,1.0,0.0,0.0,LatinAmerican.json
662,51,5,7,11,25,75,11,7,16,34,45,2.0,4,16,12,5,3,3.0,2.0,0.0,4.0,0.0,0.0,0.0,Mediterranean.json
575,56,8,16,7,30,100,3,8,27,40,85,5.0,4,14,7,2,2,3.0,3.0,1.0,3.0,1.0,0.0,0.0,Mexican.json
530,46,11,20,10,24,127,7,14,26,32,86,9.0,11,20,4,7,3,1.0,7.0,0.0,2.0,0.0,1.0,2.0,SoulFood.json
597,45,6,8,10,24,99,15,10,13,39,86,4.0,4,18,7,4,2,1.0,2.0,1.0,3.0,2.0,0.0,0.0,Southern.json
589,57,7,9,16,30,74,15,10,11,49,80,4.0,7,24,9,2,1,0.0,1.0,1.0,4.0,0.0,0.0,0.0,Spanish.json
598,64,3,9,7,35,83,13,12,17,42,62,9.0,8,18,9,4,3,0.0,1.0,0.0,2.0,1.0,0.0,0.0,Thai.json
579,80,8,12,12,33,92,14,11,13,35,54,9.0,5,20,11,1,1,5.0,1.0,0.0,3.0,1.0,0.0,0.0,Vietnamese.json
