cuisine,yelp_avg_neg,yelp_avg_nue,yelp_avg_pos,rob_avg_neg,rob_avg_nue,rob_avg_pos
Chinese,0.18808404614537721,0.1055345994583331,0.7063813535915687,0.16417348599992693,0.10723066716454924,0.7285958417877555
French,0.14617310316330986,0.1613180099753663,0.6925088849081658,0.16154061558190733,0.08289373307488859,0.7555656464118511
Cajun_Creole,0.1635684331372613,0.11809062725165859,0.7183409361634403,0.1605896752467379,0.09903775809332728,0.7403725550230592
Mexican,0.1467617357673589,0.13113662326475606,0.7221016416768543,0.13876205869484692,0.08881938135251403,0.772418548874557
American(Traditional),0.2016844931250671,0.11359553723363205,0.6847199640166945,0.18449649829417467,0.1464688645210117,0.669034640993923
Irish,0.18358338774181904,0.15330694607226178,0.663109662795905,0.13878252920228987,0.1229168660659343,0.7383006161730736
Vietnamese,0.16900467021070653,0.15955047263531014,0.6714448556629941,0.14793403926538304,0.12810680006630717,0.7239591632597149
Spanish,0.14456258263613564,0.10677531575318426,0.7486620967602358,0.14789206451037898,0.10461953626945615,0.7474884025193751
Japanese,0.1088519952367642,0.15154182580765338,0.7396061715506949,0.1194430542550981,0.08104504015296697,0.7995119031891227
Korean,0.048083820461761205,0.10022062265081332,0.85169556804467,0.053592092180624606,0.09128485357388855,0.8551230482012033
LatinAmerican,0.11502474890905433,0.07600926915183663,0.808965980305802,0.13168941252399236,0.10895874474197625,0.7593518434558064
SoulFood,0.24481754567153985,0.09172300128964707,0.6634594533080235,0.21083863981999457,0.09766733629629015,0.6914940190967173
Southern,0.16196088038675951,0.18540432014968247,0.6526347891334444,0.12493692358955741,0.11483470490202308,0.760228372849524
Indian,0.09160203186591388,0.14363231105264276,0.7647656539874151,0.12727312511298805,0.11300077319145202,0.7597261073533446
Greek,0.14531142506108152,0.15152608433738352,0.7031624848861248,0.13620145074557513,0.0983571242261678,0.7654414357151836
Cuban,0.21628806798253208,0.11632242940599098,0.6673895028117113,0.14404311650898308,0.1168578849453479,0.7390990036260336
Mediterranean,0.07546324442257174,0.08597727122716606,0.838559482046403,0.08421993963886053,0.0910380861070007,0.8247419817186892
American(New),0.1309241297963308,0.04806773546850309,0.8210081424214877,0.11462046874454244,0.06035687637515366,0.825022653369233
Thai,0.09652384983783122,0.07925391411874444,0.8242222473234869,0.06936544358031824,0.08106337905861437,0.8495711774006486
Italian,0.15910169020033207,0.08391406709561125,0.7569842462497763,0.10465007152408362,0.0875306345988065,0.8078193017467856
